City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,crane,31.3974,-102.3501,99.01,23,4,20.71,US,1719529020
96,tongouson,5.0214,120.1328,83.28,77,91,11.99,PH,1719529020
97,ak-dovurak,51.1833,90.6,63.19,70,2,1.21,RU,1719529021
98,enewetak,11.3474,162.3373,82.94,78,91,16.15,MH,1719529021
99,arraial do cabo,-22.9661,-42.0278,71.56,83,40,4.61,BR,1719528943
100,prince rupert,54.3161,-130.3201,55.09,97,100,4.61,CA,1719529021
101,anadyr,64.75,177.4833,57.7,82,75,8.95,RU,1719529021
102,kingston,17.997,-76.7936,83.35,79,100,8.05,JM,1719528893
103,telimele,10.9167,-13.3333,73.56,96,85,3.44,GN,1719529021
104,vorkuta,67.5,64.0,39.96,91,100,13.11,RU,1719529021
105,praia da vitoria,38.7333,-27.0667,71.76,83,40,8.48,PT,1719529022
106,chistopol',55.3631,50.6424,53.89,87,87,8.52,RU,1719529022
107,badger,64.8,-147.5333,83.98,33,75,1.01,US,1719529022
108,nova borova,50.693,28.6345,66.83,81,78,7.34,UA,1719529022
109,holyhead,53.3062,-4.6321,57.2,82,100,21.85,GB,1719529022
110,invercargill,-46.4,168.35,45.01,94,100,1.99,NZ,1719529023
111,kone,-21.0595,164.8658,77.61,51,25,2.82,NC,1719529023
112,mejit,10.2753,170.8646,82.71,77,13,16.71,MH,1719529023
113,woolgoolga,-30.1106,153.2007,57.07,66,81,8.57,AU,1719529023
114,varde,55.6211,8.4807,66.97,91,20,5.75,DK,1719529023
115,sonoita,31.85,-112.8333,98.24,30,65,18.43,MX,1719529023
116,faya-largeau,17.9257,19.1043,91.81,9,71,11.32,TD,1719529023
117,cooma,-36.2333,149.1333,44.83,82,40,1.48,AU,1719529024
118,chui,-33.6971,-53.4616,51.13,88,5,10.02,UY,1719529024
119,nema,57.5067,50.5011,46.62,97,49,5.3,RU,1719529024
120,pacasmayo,-7.4006,-79.5714,65.41,84,75,13.09,PE,1719529024
121,darwin,-12.4611,130.8418,75.18,82,40,5.75,AU,1719528782
122,chenaran,36.6455,59.1212,70.23,54,10,3.02,IR,1719529024
123,betio village,1.358,172.9211,87.84,78,78,10.6,KI,1719528910
124,ribeira grande,38.5167,-28.7,72.77,84,11,8.99,PT,1719528788
125,camiri,-20.05,-63.5167,71.38,49,69,0.0,BO,1719529025
126,hasaki,35.7333,140.8333,72.28,97,100,6.73,JP,1719529025
127,togur,58.3631,82.8265,68.07,89,81,5.37,RU,1719529025
128,fale old settlement,-9.3852,-171.2468,83.1,76,54,15.05,TK,1719529025
129,ilhabela,-23.7781,-45.3581,68.81,88,100,6.17,BR,1719529025
130,pedernales,18.0384,-71.744,85.26,71,98,10.2,DO,1719529025
131,palikir - national government center,6.9248,158.1611,79.65,94,100,3.44,FM,1719528812
132,tolanaro,-25.0319,46.9987,62.67,82,20,9.22,MG,1719529026
133,elko,41.0002,-115.5012,82.06,18,62,15.99,US,1719529026
134,yellowknife,62.456,-114.3525,68.56,48,40,8.01,CA,1719529026
135,zhangye,38.9342,100.4517,70.88,39,82,5.44,CN,1719529026
136,moyale,3.5167,39.0584,68.41,66,96,4.29,KE,1719529026
137,westport,41.1415,-73.3579,82.17,50,40,10.36,US,1719529026
138,sheopur,25.6667,76.7,85.95,72,100,5.01,IN,1719529026
139,longyearbyen,78.2186,15.6401,42.64,75,75,24.16,SJ,1719529026
140,moose jaw,50.4001,-105.5344,64.67,82,100,20.71,CA,1719529027
141,puerto baquerizo moreno,-0.9,-89.6,76.19,83,75,8.48,EC,1719528731
142,kalmunai,7.4167,81.8167,82.06,75,100,1.48,LK,1719529027
143,dunedin,-45.8742,170.5036,46.8,72,97,1.01,NZ,1719528862
144,boguchany,58.3814,97.4531,72.88,60,96,0.6,RU,1719529027
145,retreat,38.8245,-85.8533,83.82,69,4,10.02,US,1719529027
146,mata-utu,-13.2816,-176.1745,82.54,80,42,18.7,WF,1719529027
147,ilulissat,69.2167,-51.1,45.39,73,100,17.72,GL,1719529027
148,hermanus,-34.4187,19.2345,62.49,52,0,8.95,ZA,1719529028
149,macau,22.2006,113.5461,85.8,89,20,2.3,MO,1719529028
150,haiku-pauwela,20.9219,-156.3051,81.21,73,8,5.99,US,1719529028
151,vila franca do campo,37.7167,-25.4333,68.41,99,76,7.47,PT,1719528796
152,nemuro,43.3236,145.575,59.31,87,66,9.78,JP,1719529028
153,new norfolk,-42.7826,147.0587,48.92,84,100,2.19,AU,1719529029
154,hashtrud,37.4779,47.0508,58.51,73,0,4.83,IR,1719529029
155,ocean shores,46.9737,-124.1563,63.95,81,100,11.5,US,1719529029
156,lerwick,60.1545,-1.1494,55.4,91,0,19.77,GB,1719529029
157,taltal,-25.4,-70.4833,58.17,81,100,0.69,CL,1719529029
158,o rosal,41.9354,-8.8368,68.95,92,67,11.52,ES,1719529029
159,hauterive,46.0901,3.4459,67.75,95,96,2.48,FR,1719529029
160,west island,-12.1568,96.8225,80.58,74,20,12.66,CC,1719529029
161,scottburgh,-30.2867,30.7532,60.78,87,0,5.95,ZA,1719529029
162,mahebourg,-20.4081,57.7,70.09,64,40,13.8,MU,1719529029
163,tazovsky,67.4667,78.7,57.42,92,100,10.38,RU,1719529029
164,kirakira,-10.4544,161.9205,82.96,72,100,13.69,SB,1719529030
165,saint-francois,46.4154,3.9054,67.41,95,100,2.3,FR,1719529030
166,saint-jean-de-monts,46.7833,-2.0667,62.51,87,41,10.36,FR,1719529030
167,la passe,45.5549,-0.8967,68.23,92,56,11.18,FR,1719529030
168,goroka,-6.0834,145.3873,69.64,77,96,1.48,PG,1719529030
169,pirane,-25.7324,-59.1088,57.54,81,83,4.79,AR,1719529030
170,avarua,-21.2078,-159.775,80.65,89,75,12.66,CK,1719528798
171,tarija,-21.5355,-64.7296,69.71,24,100,3.44,BO,1719528849
172,buala,-8.145,159.5921,83.79,73,75,11.12,SB,1719529030
173,weno,7.4515,151.8468,85.95,84,100,6.91,FM,1719529030
174,jayapura,-2.5333,140.7,79.99,88,94,3.02,ID,1719529030
175,gerash,27.6652,54.1371,83.14,26,0,3.62,IR,1719529031
176,george town,5.4112,100.3354,80.53,83,20,3.44,MY,1719529017
177,valderice,38.0401,12.6151,72.59,64,0,4.61,IT,1719529031
178,calvinia,-31.4707,19.776,55.71,40,0,8.55,ZA,1719529031
179,capannori,43.8747,10.5728,68.74,85,3,5.01,IT,1719529031
180,atafu village,-8.5421,-172.5159,82.99,78,39,15.19,TK,1719529031
181,yeraliyev,43.2,51.65,69.1,69,32,9.28,KZ,1719529031
182,aberystwyth,52.4155,-4.0829,57.7,86,47,24.4,GB,1719529031
183,diplo,24.4667,69.584,89.19,68,100,9.22,PK,1719529031
184,midvagur,62.0511,-7.1939,50.83,100,100,8.05,FO,1719529031
185,lakatoro,-16.0999,167.4164,80.89,68,55,13.11,VU,1719529031
186,upington,-28.4478,21.2561,56.44,37,16,9.73,ZA,1719528949
